ID,PSET,ALT_PRONOUNCE,PRONOUN,VERB,GENDER,SYLLABARY,PRONOUNCE,ENGLISH,INTRO NOTE,END NOTE
,,Ì:na:liɂǐ:da ahyelsdi.,,,,ᎢᎾᎵᎢᏓ ᎭᏰᎵᏍᏗ.,Ì:na:liɂǐ:da hayelsdi.,Let's both trade knives.,,
,,Jalagis hiwó:ni:sgi?,,,,ᏣᎳᎩᏍ ᎯᏬᏂᏍᎩ?,Jalagisgo hiwó:ni:sgi?,Are you a Cherokee speaker?,,
,,U:ka:hyő:dv̋ há:ɂi:sésdi.,,,,ᎤᎧᏲᏛ ᎭᎢᏎᏍᏗ.,U:ka:hyő:dv̋:ɂi há:ɂi:sésdi.,Walk on a dry place.,,
,,U:nǐ:si ù:tvhistanv́.,,,,ᎤᏂᏏ ᎤᏛᎯᏍᏔᏅᎢ.,U:nǐ:si ù:tvhistanv́:ɂi.,His grandfather raised him.,,
,,Dagwalé:la hajaɂv̀:ga.,,,,ᏓᏆᎴᎷ ᎭᏣᎥᎦ.,Dagwalé:lu hajaɂv̀:ga.,Get in the car,,
,,Diga:dú:hv̋ wijigâ:ti.,,,,ᏗᎦᏚᎲ ᏫᏥᎦᏘ.,Diga:dú:hv̋:ɂi wijigâ:ti.,I'm heading for town.,,
,,,,,,ᏦᎳᏂ ᎯᏌᎳᏛᎦ.,Jǒ:lani hì:saladv̀:ga.,Raise the window.,,
,,Jőhlgis u:gv:wiyu:hi?,,,,ᏦᎵᎩᏍ ᎤᎬᏫᏳᎯ?,Jőhlgisgo u:gv:wiyu:hi?,Does the chief know you?,,
,,Yǒ:na dù:hli:ló:stanv̌.,,,,ᏲᎾ ᏚᏟᎶᏍᏔᏅᎢ?,Yǒ:na dù:hli:ló:stanv̌:ɂi.,He drew a picture of a bear.,,
,,,,,,ᎠᎹᏱ ᏫᏔᎵᏔᏚᎦ.,Amǎ:yi witáhltadù:ga.,Jump into the water.,,
,,Atǔ:gi̋:sdi ù:ne:hně:lv́.,,,,ᎠᏚᎩᏍᏗ ᎤᏁᏁᎸᎢ.,Atǔ:gi̋:sdi ù:ne:hně:lv́:ɂi.,He gave him an alcoholic drink.,,
,,Di:te:lǐ:do de:gv́:dǐ:yé.,,,,ᏗᏖᎵᏙ ᏕᎬᏗᏰᎠ.,Di:te:lǐ:do de:gv́:dǐ:yéɂa.,He is washing plates.,,
,,Do:dv:dani:lv́:jisgo he:lí?; Do:dv:dani:lv́:jis he:lí?,,,,ᏚᏛᏓᏂᎸᏥᏍ ᎮᎵ?,Do:dv:dani:lv́:jisgo he:líɂa?,Do you think he is going to accept?,,
,,Galò:gwe ganv:galí.,,,,ᎦᎶᏇ ᎦᏅᎦᎵᎭ.,Galò:gwe ganv:galíha.,He is cleaning a gun.,,
,,Galv̌:ládige̋ hwiɂlò:ga.,,,,ᎦᎸᎳᏗᎨ ᏫᎶᎦ.,Galv̌:ládige̋:ɂi hwiɂlò:ga.,Climb up higher.,,
,,Ù:hnv́:si:yv̋ hale:hv̀:ga.,,,,ᎤᏅᏏᏴ ᏩᎴᎲᎦ.,Ù:hnv́:si:yv̋:ɂi hale:hv̀:ga.,Go stand in the corner.,,
,,,,,,ᎤᎾᎦᏑᏘ ᎠᏂᎾᏰᎩ.,U:naksú:ti anǐ:nayè:gi.,Diamondback rattlers are dangerous.,,
,,U:nalà:sgáhldi̋ ì:dè:na.,,,,ᎤᎾᎳᏍᎦᎸᏗ ᎢᏕᎾ.,U:nalà:sgáhldi̋:ɂi ì:dè:na.,Let's all go to the ball field.,,
,,,,,,ᎤᏂᎿᏑᎦ ᏕᎦᏕᎠ.,U:ni:hnà:sǔ:ga de:gadé:ɂa.,He's picking some possum grapes.,,
,,U:sgwo:hli̋ à:sgo:lǐ:yéɂa.; U:sgwo:hli̋ à:sgo:lǐ:yé.,,,,ᎤᏍᏉᏟ ᎠᏍᎪᎵᏰᎠ.,U:sgwo:hli̋:ɂi à:sgo:lǐ:yéɂa.,He's rubbing his stomach.,,
,,De:hiktahas di:sésdi?,,,,ᏕᎯᎦᏔᎭᏍ ᏗᏎᏍᏗ?,De:hiktahasgo di:sésdi?,Do you know your numbers?,,
,,,,,,ᎡᎳᏗᏊ ᏥᏅᎨᏍᏗ.,E:ladigwu jinv́:gé:sdi.,I'll just lie on the floor.,,
,,Ga̋:duɂi ù:sdv̌:háhlanv̌.,,,,ᎦᏚᎢ ᎤᏍᏛᎭᏝᏅᎢ.,Ga̋:duɂi ù:sdv̌:háhlanv̌:ɂi.,He sandwiched it between the bread.,,
,,Gá:gō ù:hyv̌:sdé:lu:hné?,,,,ᎦᎪ ᎤᏴᏍᏕᎷᏁᎢ?,Gá:gō ù:hyv̌:sdé:lu:hné:ɂi?,Who hit him on the nose?,,
,,Gá:gwatv jině:dlí:yvɂa.,,,,ᎦᏆᏛ ᏥᏁᏟᏴᎠ.,Gá:gwatdi jině:dlí:yvɂa.,I am changing the wheel.,,
,,Hè:sdi jadlo:hyílv:ɂi.,,,,ᏞᏍᏗ ᏣᏠᏱᎸᎢ.,Hlè:sdi jadlo:hyílv:ɂi.,Don't cry.,,
,,Ù:hlǐ:sdi̋ dù:wu:ktánv́.,,,,ᎤᏟᏍᏗ ᏚᏭᎪᏔᏅᎢ.,Ù:hlǐ:sdi̋ dù:wu:ktánv́:ɂi.,He decided too quickly.,,
,,,,,,ᏓᏈᏌᏂᏍ ᏗᏣᎸᏉᏗ?,Dakwsáni dijalv̌:kwdi?,Do you like turnips?,,
